HI(mgHC/gTOC),212,,,
Activation Energy [kcal/mol],Methane,C2-C5,C6-C14,C15+
52,,,2.31,0.58
54,,,6.94,18.02
56,0.32,1.53,24.28,52.77
58,3.24,11.45,42.77,22.31
60,9.39,23.66,21.97,5.16
62,12.94,24.81,1.73,1.16
64,15.53,17.94,,
66,15.86,9.54,,
68,13.59,4.58,,
70,13.27,5.73,,
72,12.62,0.76,,
74,3.24,,,
A(S-1),3.10E+15,3.10E+15,3.10E+15,3.10E+15
W,0.68,,,
Ratio = 100.00 [%],14.56,12.36,8.16,64.92
