Lith,depo poro,Athy k,Athy k,Compress. Y Max.,Compress. Y Min.,"Schneider Factor,ka","Schneider Factor,kb","Schneider Factor,£X",Reciprocal Compaction Factor,Vert. Cond.,Anisotr.,Sp. Heat Cap.,Th. Sort. Fac.,Den.,U,Th,K,Radioactive Heat,Perm. Anisotr.,Porosity at point 1,Porosity at point 2,Porosity at point 3,Permeability at Point 1,Permeability at Point 2,Permeability at Point 3,Entry Pr. at Porosity 1%,Entry Pr. at Porosity 25%,aToEntryPr,bToEntryPr
,%,1/km,1/Mpa,1e-7/kPa,1e-7/kPa,1/Mpa,1/Mpa,digit,1/km,W/(mK),,J/(kgK),f,kg/m^3,ppm,ppm,%,£gW/m^3,,%,%,%,log mD,log mD,log mD,Mpa,Mpa,Mpa,digit
"  Coal,impure",74.000000,0.420000,0.225970,11692.700000,87.900000,0.496950,0.113280,0.370000,,1.000000,1.150000,1200.000000,1.000000,1600.000000,2.000000,3.000000,0.700000,0.470000,4.000000,3.170000,25.000000,74.000000,-7.500000,-2.600000,0.000000,23.350000,5.360000,26.160000,-0.050000
"  Coal,silty",68.000000,0.400000,0.133920,5289.100000,53.200000,0.073080,0.280350,0.340000,,1.600000,1.300000,1100.000000,1.000000,1600.000000,2.000000,3.000000,0.700000,0.470000,4.000000,3.390000,25.000000,68.000000,-7.500000,-2.600000,0.000000,23.350000,5.350000,26.190000,-0.050000
Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  typical,41.000000,0.310000,0.026600,274.700000,11.500000,0.041560,0.017810,0.200000,,3.950000,1.150000,855.000000,1.000000,2720.000000,1.300000,3.500000,1.300000,0.700000,5.000000,1.000000,25.000000,41.000000,-1.800000,3.000000,4.330000,1.000000,0.060000,1.120000,-0.048000
  clay-rich,40.000000,0.320000,0.026610,265.400000,11.100000,0.040000,0.018120,0.200000,,3.350000,1.200000,860.000000,1.000000,2760.000000,1.500000,5.100000,3.600000,1.100000,10.000000,1.000000,25.000000,40.000000,-2.800000,2.000000,3.620000,1.740000,0.120000,1.940000,-0.048000
  clay-poor,42.000000,0.300000,0.026270,280.500000,11.800000,0.040470,0.017340,0.210000,,5.950000,1.050000,820.000000,1.000000,2700.000000,0.700000,2.300000,0.600000,0.400000,5.000000,1.000000,25.000000,42.000000,-1.800000,3.000000,4.840000,1.000000,0.060000,1.120000,-0.048000
  quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    typical,42.000000,0.300000,0.027260,291.000000,12.200000,0.042810,0.017810,0.210000,,6.150000,1.080000,890.000000,1.000000,2640.000000,0.600000,1.800000,0.900000,0.360000,3.000000,1.000000,25.000000,42.000000,-1.800000,3.000000,4.840000,1.000000,0.060000,1.120000,-0.048000
    very quartz-rich,42.000000,0.270000,0.024610,252.600000,11.800000,0.016150,0.039770,0.210000,,6.450000,1.060000,890.000000,1.000000,2640.000000,0.500000,1.700000,0.700000,0.300000,2.000000,1.000000,25.000000,42.000000,-1.800000,3.000000,4.840000,1.000000,0.060000,1.120000,-0.048000
  subarkose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    typical,41.000000,0.280000,0.024680,244.800000,11.400000,0.016310,0.038740,0.200000,,4.550000,1.140000,870.000000,1.000000,2680.000000,1.000000,3.300000,1.300000,0.600000,3.000000,1.000000,25.000000,41.000000,-1.800000,3.000000,4.730000,1.000000,0.060000,1.120000,-0.048000
    quartz-rich,42.000000,0.280000,0.025330,263.400000,11.900000,0.039840,0.016410,0.210000,,5.050000,1.130000,880.000000,1.000000,2650.000000,0.900000,2.700000,0.900000,0.490000,3.000000,1.000000,25.000000,42.000000,-1.800000,3.000000,4.840000,1.000000,0.060000,1.120000,-0.048000
    clay-rich,42.000000,0.300000,0.026430,282.200000,11.800000,0.040630,0.017500,0.210000,,3.400000,1.400000,870.000000,1.000000,2690.000000,1.200000,3.900000,2.300000,0.790000,10.000000,1.000000,25.000000,42.000000,-2.800000,2.000000,3.840000,1.740000,0.120000,1.940000,-0.048000
    clay-poor,42.000000,0.300000,0.026270,280.500000,11.800000,0.040470,0.017340,0.210000,,4.800000,1.090000,870.000000,1.000000,2700.000000,0.700000,2.300000,0.600000,0.400000,3.000000,1.000000,25.000000,42.000000,-1.800000,3.000000,4.840000,1.000000,0.060000,1.120000,-0.048000
    dolomite¡Vrich,40.000000,0.300000,0.025720,249.800000,11.200000,0.040000,0.016880,0.200000,,4.100000,1.070000,840.000000,1.000000,2710.000000,0.900000,2.700000,0.900000,0.500000,5.000000,1.000000,25.000000,40.000000,-2.300000,2.500000,4.120000,1.320000,0.080000,1.470000,-0.048000
  arkose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
