HI(mgHC/gTOC),600.3,,,
Activation Energy [kcal/mol],Methane,C2-C5,C6-C14,C15+
46,,0.2,1.12,0.15
48,1.6,1.59,5.78,1.36
50,4.79,9.16,14.74,11.29
52,10.64,24.1,26.31,32.94
54,15.43,24.72,37.68,52.42
56,15.43,22.51,13.62,1.55
58,19.12,9.16,0.75,0.29
60,13.3,3.98,,
62,10.64,2.39,,
64,7.45,1.39,,
66,1.6,0.6,,
68,,0.2,,
A(S-1),1.60E+14,1.60E+14,1.60E+14,1.60E+14
W,0.75,,,
Ratio = 100.00 [%],3.13,8.36,8.93,79.58
